#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
Reactome	HSA-383280	Nuclear Receptor transcription pathway	4	52	2.03	1.82	0.00013	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
Reactome	HSA-162582	Signal Transduction	10	2540	0.74	0.61	0.00090	9606.ENSP00000287820,9606.ENSP00000299855,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000310928,9606.ENSP00000345502,9606.ENSP00000363596,9606.ENSP00000405330,9606.ENSP00000410309,9606.ENSP00000477707	PPARG,MMP3,ADRA1B,F2,PPARD,PDE4D,CNR2,ESR1,PDE1A,NR1H3
Reactome	HSA-4090294	SUMOylation of intracellular receptors	3	28	2.18	1.48	0.00096	9606.ENSP00000287820,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,ESR1,NR1H3
Reactome	HSA-388396	GPCR downstream signalling	6	624	1.13	0.92	0.0014	9606.ENSP00000299855,9606.ENSP00000306662,9606.ENSP00000308541,9606.ENSP00000345502,9606.ENSP00000363596,9606.ENSP00000410309	MMP3,ADRA1B,F2,PDE4D,CNR2,PDE1A
Reactome	HSA-9006931	Signaling by Nuclear Receptors	4	265	1.33	0.79	0.0116	9606.ENSP00000299855,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	MMP3,PPARD,ESR1,NR1H3
Reactome	HSA-556833	Metabolism of lipids	5	739	0.98	0.52	0.0371	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000363512,9606.ENSP00000477707	FABP4,PPARG,PPARD,ALOX5,NR1H3
WikiPathways	WP170	Nuclear receptors	4	37	2.18	2.32	1.24e-05	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
WikiPathways	WP3942	PPAR signaling pathway	4	67	1.92	1.91	5.88e-05	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000477707	FABP4,PPARG,PPARD,NR1H3
WikiPathways	WP299	Nuclear receptors in lipid metabolism and toxicity	3	32	2.12	1.6	0.00048	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000477707	PPARG,PPARD,NR1H3
WikiPathways	WP5273	Effect of intestinal microbiome on anticoagulant response of vitamin K antagonists	2	7	2.6	1.26	0.0033	9606.ENSP00000289547,9606.ENSP00000310928	NPC1L1,PPARD
WikiPathways	WP236	Adipogenesis	3	130	1.51	0.8	0.0162	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000477707	PPARG,PPARD,NR1H3
WikiPathways	WP129	Matrix metalloproteinases	2	30	1.97	0.77	0.0280	9606.ENSP00000299855,9606.ENSP00000458585	MMP3,MMP12
WikiPathways	WP2877	Vitamin D receptor pathway	3	183	1.36	0.67	0.0280	9606.ENSP00000306662,9606.ENSP00000310928,9606.ENSP00000363512	ADRA1B,PPARD,ALOX5
WikiPathways	WP4149	White fat cell differentiation	2	32	1.94	0.76	0.0280	9606.ENSP00000287820,9606.ENSP00000477707	PPARG,NR1H3
WikiPathways	WP4719	Eicosanoid metabolism via cyclooxygenases (COX)	2	31	1.96	0.77	0.0280	9606.ENSP00000287820,9606.ENSP00000310928	PPARG,PPARD
WikiPathways	WP4721	Eicosanoid metabolism via lipooxygenases (LOX)	2	29	1.99	0.77	0.0280	9606.ENSP00000310928,9606.ENSP00000363512	PPARD,ALOX5
WikiPathways	WP5102	Familial partial lipodystrophy	2	30	1.97	0.77	0.0280	9606.ENSP00000256104,9606.ENSP00000287820	FABP4,PPARG
WikiPathways	WP5283	Chronic hyperglycemia impairment of neuron function	2	45	1.8	0.72	0.0324	9606.ENSP00000299855,9606.ENSP00000458585	MMP3,MMP12
WikiPathways	WP1541	Energy metabolism	2	47	1.78	0.72	0.0325	9606.ENSP00000287820,9606.ENSP00000310928	PPARG,PPARD
WikiPathways	WP4222	Phosphodiesterases in neuronal function	2	54	1.72	0.67	0.0394	9606.ENSP00000345502,9606.ENSP00000410309	PDE4D,PDE1A
TISSUES	BTO:0000746	Preadipocyte cell line	2	4	2.85	1.0	0.0113	9606.ENSP00000256104,9606.ENSP00000287820	FABP4,PPARG
TISSUES	BTO:0004043	Intramuscular adipose tissue	2	3	2.97	1.0	0.0113	9606.ENSP00000256104,9606.ENSP00000287820	FABP4,PPARG
TISSUES	BTO:0000011	3T3-L1 cell	2	9	2.5	0.96	0.0127	9606.ENSP00000256104,9606.ENSP00000287820	FABP4,PPARG
TISSUES	BTO:0001107	Preadipocyte	2	8	2.55	0.97	0.0127	9606.ENSP00000256104,9606.ENSP00000287820	FABP4,PPARG
TISSUES	BTO:0000088	Cardiovascular system	6	1057	0.9	0.54	0.0202	9606.ENSP00000256104,9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000345502,9606.ENSP00000410309,9606.ENSP00000477707	FABP4,PPARG,F2,PDE4D,PDE1A,NR1H3
TISSUES	BTO:0000562	Heart	5	738	0.98	0.51	0.0392	9606.ENSP00000287820,9606.ENSP00000308541,9606.ENSP00000345502,9606.ENSP00000410309,9606.ENSP00000477707	PPARG,F2,PDE4D,PDE1A,NR1H3
InterPro	IPR000536	Nuclear hormone receptor, ligand-binding domain	4	47	2.08	1.72	0.00024	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
InterPro	IPR001628	Zinc finger, nuclear hormone receptor-type	4	45	2.1	1.73	0.00024	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
InterPro	IPR001723	Nuclear hormone receptor	4	45	2.1	1.73	0.00024	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
InterPro	IPR013088	Zinc finger, NHR/GATA-type	4	55	2.01	1.7	0.00024	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
InterPro	IPR035500	Nuclear hormone receptor-like domain superfamily	4	47	2.08	1.72	0.00024	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
InterPro	IPR003074	Peroxisome proliferator-activated receptor	2	3	2.97	1.16	0.0056	9606.ENSP00000287820,9606.ENSP00000310928	PPARG,PPARD
SMART	SM00399	c4 zinc finger in nuclear hormone receptors	4	45	2.1	2.14	2.72e-05	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
SMART	SM00430	Ligand binding domain of hormone receptors	4	47	2.08	2.13	2.72e-05	9606.ENSP00000287820,9606.ENSP00000310928,9606.ENSP00000405330,9606.ENSP00000477707	PPARG,PPARD,ESR1,NR1H3
SMART	SM00120	Hemopexin-like repeats.	2	23	2.09	0.71	0.0381	9606.ENSP00000299855,9606.ENSP00000458585	MMP3,MMP12
SMART	SM00235	Zinc-dependent metalloprotease	2	27	2.02	0.7	0.0386	9606.ENSP00000299855,9606.ENSP00000458585	MMP3,MMP12
SMART	SM00471	Metal dependent phosphohydrolases with conserved HD motif.	2	27	2.02	0.7	0.0386	9606.ENSP00000345502,9606.ENSP00000410309	PDE4D,PDE1A
